,0
unknown_last_amt_dev,23.861592054367065
unknown_overdue,23.121774005889893
f_generic_last1,22.108949995040895
unknown_due,21.980482149124146
f_n_mcc,21.815402030944824
amb5812_due,21.32031798362732
amb5812_n_noisy,20.27688584327698
amb5812_n90,19.873036003112794
amb5812_last_gap_ratio,17.678490114212035
unknown_meangap,17.646906089782714
n_cur,17.620493936538697
amb5812_cov90,17.149322032928467
unknown_medgap,16.673154163360596
amb5812_noisy_last3,16.639228057861327
unknown_noisy_last3,16.636625957489013
f_n_cur,15.107850074768066
amb5812_fee_frac,14.550606107711792
unknown_due_mean,13.418826055526733
f_fee_last,12.441220140457153
amb5812_n_desc,11.301656007766724
n_amb,10.036431980133056
amb5812_reg,9.999874019622803
unknown_gap_std,8.558262014389038
amb5812_n_outlier,8.29152193069458
unknown_n_noisy,8.134954023361207
unknown_last_gap,6.870554113388062
amb5812_n,6.859714031219482
unknown_max_absdev,6.836001968383789
ref_generic,6.832391929626465
unknown_max_gap,6.826868009567261
unknown_n_outlier,6.759136009216308
unknown_nref_frac,5.768657970428467
unknown_n90,5.753109979629516
unknown_cov90,4.692607975006103
unknown_n180,4.0381200313568115
unknown_n_desc,3.656219959259033
unknown_reg,3.535248041152954
unknown_amt_slope,3.497458076477051
amb5812_generic_last3,2.6260680198669433
unknown_last_gap_ratio,2.464080047607422
n_unknown,2.4008740425109862
unknown_n_mcc,2.0627439975738526
unknown_n_cur,1.4977840423583983
amb5812_nref60,1.4423419952392578
unknown_generic_last3,1.1964420318603515
unknown_n30,1.1428959846496582
unknown_nref60,0.97322998046875
unknown_ref_after_last,0.9453760147094726
unknown_n,0.8994959831237793
amb5812_fee_last,0.8536100387573242
unknown_fee_frac,0.8337519645690918
amb5812_ref_after_last,0.8115900039672852
unknown_fee_last,0.6167940139770508
amb5812_n_dup,0.0
amb5812_n_missed,0.0
amb5812_n_cur,0.0
unknown_n_missed,0.0
unknown_n_dup,0.0
unknown_n60,0.0
unknown_n45,0.0
unknown_cur_last_diff,0.0
unknown_generic_last1,0.0
unknown_frac_generic,0.0
unknown_n_named,0.0
amb5812_cur_last_diff,0.0
amb5812_n_mcc,0.0
amb5812_generic_last1,0.0
amb5812_frac_generic,0.0
amb5812_n_named,0.0
