feature,importance
minimum2_core_first_age,0.07534260000189207
minimum2_core_gap3,0.07480239046157933
rank_phase_due60,0.07468035670437821
minimum3_core_phase_due90,0.07461493462220624
own_core_amount_slope,0.07446348971699773
own_gap_mean,0.07432436147213536
minimum1_recentcore_phase_due30,0.07418536221159062
delta_from_minimum_recentcore_phase_strength365,0.07412658360160182
delta_from_minimum_core_active_n_1.2,0.07388324497270332
own_phase_strength90,0.07313371607686502
delta_from_minimum_recentcore_span,0.07294466204831646
maximum_recentcore_amount_range,0.07289046841555483
delta_from_minimum_core_active_due_1.5,0.07203543308039378
delta_from_minimum_gap_med,0.07171668915013586
delta_from_minimum_recentcore_last_due60,0.07145393598314596
delta_from_minimum_generic_fraction,0.07108174545853733
own_phase_due90,0.07026249393278584
own_last_due365,0.06979227433480596
delta_from_minimum_phase_due365,0.06941157035290182
maximum_linear_error8,0.0691468169222373
minimum2_linear_error8,0.06899903915763007
delta_from_minimum_core_amount_delta,0.06850110949292515
minimum1_core_amount_slope,0.06843568264004476
minimum1_core_first_age,0.06821178310073726
own_gap_std,0.06819721298798935
maximum_recentcore_active_n_1.5,0.06814038994444926
competitor1_core_age,0.06792561215526487
own_recentcore_n270,0.06790231139879892
own_core_linear_period5,0.06779624340935042
maximum_amount_mad,0.06760690504251186
minimum1_amount_cv,0.06745106142374664
minimum1_core_gap_error60,0.06707395084695283
rank_gap_error7,0.06699049975298259
delta_from_minimum_recentcore_amount_last_delta,0.06695052538304314
delta_from_minimum_amount_mad,0.06681238259497481
own_n60,0.0667204774062625
delta_from_minimum_n270,0.06664163418193603
own_core_gap4,0.06652424441396623
own_recentcore_gap_max,0.06640238401470994
minimum3_phase_due60,0.06633785102132683
rank_recentcore_due_gap_med,0.0656640276320497
own_mcc_6300,0.06555120528509152
own_mcc_4814,0.06531792877560968
own_core_n,0.06520139176091441
minimum2_core_linear_error3,0.06496378973385845
delta_from_minimum_core_cadence_active_due,0.06467369472837445
delta_from_minimum_core_n120,0.06463388212246877
own_core_age3,0.0645290137330808
delta_from_minimum_recentcore_phase_due90,0.06396010872950891
own_core_due_gap_med,0.06379259863337466
maximum_phase_strength14,0.06353790212184987
maximum_overdue_gap_recent,0.06312220092798813
own_age2,0.06267257295374642
delta_from_minimum_phase_due14,0.062126170576598166
minimum3_recentcore_phase_due60,0.06208129960001043
minimum1_first_age,0.061913204986283284
delta_from_minimum_specific_fraction,0.06127156628677866
minimum2_regular_amount,0.06100950444838787
delta_from_minimum_age1,0.06024619472521525
competitor3_core_cadence_due,0.05993640952142447
rank_recentcore_last_due30,0.0598372039196426
own_recentcore_amount_delta,0.05979568913092477
minimum2_phase_strength90,0.059637932512070634
global_total_n,0.05943068913471834
delta_from_minimum_core_n270,0.05920319571579828
own_recentcore_gap3,0.058856150339117834
own_core_phase_due365,0.05814970667275102
own_core_gap3,0.058102815257056975
